ds,y,dollar
2012-10-01,33,96
2012-10-02,33,96
2012-10-03,33,97
2012-10-04,33,97
2012-10-05,33,97
2012-10-06,33,97
2012-10-07,33,97
2012-10-08,33,97
2012-10-09,33,97
2012-10-10,33,97
2012-10-11,33,97
2012-10-12,33,97
2012-10-13,33,97
2012-10-14,33,97
2012-10-15,33,97
2012-10-16,33,97
2012-10-17,33,97
2012-10-18,33,97
2012-10-19,33,97
2012-10-20,33,97
2012-10-21,33,97
2012-10-22,33,97
2012-10-23,33,97
2012-10-24,33,97
2012-10-25,33,97
2012-10-26,33,97
2012-10-27,33,97
2012-10-28,33,97
2012-10-29,33,97
2012-10-30,33,97
2012-10-31,33,97
2012-11-01,34,97
2012-11-02,34,97
2012-11-03,34,97
2012-11-04,34,97
2012-11-05,34,97
2012-11-06,34,97
2012-11-07,34,97
2012-11-08,34,97
2012-11-09,34,97
2012-11-10,34,97
2012-11-11,34,97
2012-11-12,34,97
2012-11-13,34,97
2012-11-14,34,97
2012-11-15,34,97
2012-11-16,34,97
2012-11-17,34,97
2012-11-18,34,97
2012-11-19,34,97
2012-11-20,34,97
2012-11-21,34,97
2012-11-22,34,97
2012-11-23,34,97
2012-11-24,34,97
2012-11-25,34,97
2012-11-26,34,97
2012-11-27,34,97
2012-11-28,34,97
2012-11-29,34,97
2012-11-30,34,97
2012-12-01,28,97
2012-12-02,28,97
2012-12-03,28,97
2012-12-04,28,97
2012-12-05,28,97
2012-12-06,28,97
2012-12-07,28,97
2012-12-08,28,97
2012-12-09,28,97
2012-12-10,28,97
2012-12-11,28,97
2012-12-12,28,97
2012-12-13,28,97
2012-12-14,28,97
2012-12-15,28,97
2012-12-16,28,97
2012-12-17,28,97
2012-12-18,28,97
2012-12-19,28,97
2012-12-20,28,97
2012-12-21,28,97
2012-12-22,28,97
2012-12-23,28,97
2012-12-24,28,97
2012-12-25,28,97
2012-12-26,28,97
2012-12-27,28,97
2012-12-28,28,97
2012-12-29,28,97
2012-12-30,28,97
2012-12-31,28,97
2013-01-01,42,97
2013-01-02,42,97
2013-01-03,42,97
2013-01-04,42,97
2013-01-05,42,97
2013-01-06,42,97
2013-01-07,42,97
2013-01-08,42,97
2013-01-09,42,97
2013-01-10,42,97
2013-01-11,42,97
2013-01-12,42,97
2013-01-13,42,97
2013-01-14,42,97
2013-01-15,42,97
2013-01-16,42,97
2013-01-17,42,97
2013-01-18,42,97
2013-01-19,42,97
2013-01-20,42,97
2013-01-21,42,97
2013-01-22,42,97
2013-01-23,42,97
2013-01-24,42,97
2013-01-25,42,97
2013-01-26,42,97
2013-01-27,42,97
2013-01-28,42,97
2013-01-29,42,97
2013-01-30,42,97
2013-01-31,42,97
2013-02-01,39,97
2013-02-02,39,97
2013-02-03,39,97
2013-02-04,39,97
2013-02-05,39,97
2013-02-06,39,97
2013-02-07,39,97
2013-02-08,39,97
2013-02-09,39,97
2013-02-10,39,97
2013-02-11,39,97
2013-02-12,39,98
2013-02-13,39,98
2013-02-14,39,98
2013-02-15,39,98
2013-02-16,39,98
2013-02-17,39,98
2013-02-18,39,98
2013-02-19,39,98
2013-02-20,39,98
2013-02-21,39,98
2013-02-22,39,98
2013-02-23,39,98
2013-02-24,39,98
2013-02-25,39,98
2013-02-26,39,98
2013-02-27,39,98
2013-02-28,39,98
2013-03-01,41,98
2013-03-02,41,99
2013-03-03,41,99
2013-03-04,41,99
2013-03-05,41,99
2013-03-06,41,99
2013-03-07,41,99
2013-03-08,41,99
2013-03-09,41,99
2013-03-10,41,99
2013-03-11,41,99
2013-03-12,41,99
2013-03-13,41,99
2013-03-14,41,99
2013-03-15,41,99
2013-03-16,41,99
2013-03-17,41,99
2013-03-18,41,99
2013-03-19,41,99
2013-03-20,41,99
2013-03-21,41,99
2013-03-22,41,99
2013-03-23,41,99
2013-03-24,41,99
2013-03-25,41,99
2013-03-26,41,99
2013-03-27,41,99
2013-03-28,41,99
2013-03-29,41,99
2013-03-30,41,99
2013-03-31,41,99
2013-04-01,35,99
2013-04-02,35,99
2013-04-03,35,99
2013-04-04,35,99
2013-04-05,35,99
2013-04-06,35,99
2013-04-07,35,99
2013-04-08,35,99
2013-04-09,35,99
2013-04-10,35,99
2013-04-11,35,99
2013-04-12,35,99
2013-04-13,35,99
2013-04-14,35,99
2013-04-15,35,99
2013-04-16,35,99
2013-04-17,35,99
2013-04-18,35,99
2013-04-19,35,99
2013-04-20,35,99
2013-04-21,35,99
2013-04-22,35,99
2013-04-23,35,99
2013-04-24,35,99
2013-04-25,35,99
2013-04-26,35,99
2013-04-27,35,99
2013-04-28,35,99
2013-04-29,35,99
2013-04-30,35,99
2013-05-01,46,99
2013-05-02,46,99
2013-05-03,46,99
2013-05-04,46,99
2013-05-05,46,99
2013-05-06,46,99
2013-05-07,46,99
2013-05-08,46,99
2013-05-09,46,99
2013-05-10,46,99
2013-05-11,46,99
2013-05-12,46,99
2013-05-13,46,99
2013-05-14,46,99
2013-05-15,46,99
2013-05-16,46,99
2013-05-17,46,99
2013-05-18,46,99
2013-05-19,46,99
2013-05-20,46,99
2013-05-21,46,99
2013-05-22,46,99
2013-05-23,46,99
2013-05-24,46,99
2013-05-25,46,99
2013-05-26,46,99
2013-05-27,46,99
2013-05-28,46,99
2013-05-29,46,99
2013-05-30,46,99
2013-05-31,46,99
2013-06-01,33,99
2013-06-02,33,99
2013-06-03,33,99
2013-06-04,33,99
2013-06-05,33,99
2013-06-06,33,99
2013-06-07,33,99
2013-06-08,33,100
2013-06-09,33,100
2013-06-10,33,100
2013-06-11,33,100
2013-06-12,33,100
2013-06-13,33,100
2013-06-14,33,100
2013-06-15,33,100
2013-06-16,33,100
2013-06-17,33,100
2013-06-18,33,100
2013-06-19,33,100
2013-06-20,33,100
2013-06-21,33,100
2013-06-22,33,100
2013-06-23,33,100
2013-06-24,33,100
2013-06-25,33,100
2013-06-26,33,100
2013-06-27,33,100
2013-06-28,33,100
2013-06-29,33,100
2013-06-30,33,100
2013-07-01,41,100
2013-07-02,41,100
2013-07-03,41,100
2013-07-04,41,100
2013-07-05,41,100
2013-07-06,41,100
2013-07-07,41,100
2013-07-08,41,100
2013-07-09,41,100
2013-07-10,41,100
2013-07-11,41,100
2013-07-12,41,100
2013-07-13,41,100
2013-07-14,41,100
2013-07-15,41,100
2013-07-16,41,100
2013-07-17,41,100
2013-07-18,41,100
2013-07-19,41,100
2013-07-20,41,100
2013-07-21,41,100
2013-07-22,41,100
2013-07-23,41,100
2013-07-24,41,101
2013-07-25,41,101
2013-07-26,41,101
2013-07-27,41,101
2013-07-28,41,101
2013-07-29,41,101
2013-07-30,41,101
2013-07-31,41,101
2013-08-01,34,101
2013-08-02,34,101
2013-08-03,34,101
2013-08-04,34,101
2013-08-05,34,101
2013-08-06,34,101
2013-08-07,34,101
2013-08-08,34,101
2013-08-09,34,101
2013-08-10,34,101
2013-08-11,34,101
2013-08-12,34,101
2013-08-13,34,101
2013-08-14,34,101
2013-08-15,34,101
2013-08-16,34,101
2013-08-17,34,101
2013-08-18,34,101
2013-08-19,34,101
2013-08-20,34,101
2013-08-21,34,101
2013-08-22,34,101
2013-08-23,34,101
2013-08-24,34,101
2013-08-25,34,101
2013-08-26,34,101
2013-08-27,34,101
2013-08-28,34,101
2013-08-29,34,101
2013-08-30,34,101
2013-08-31,34,101
2013-09-01,37,101
2013-09-02,37,101
2013-09-03,37,101
2013-09-04,37,102
2013-09-05,37,102
2013-09-06,37,102
2013-09-07,37,102
2013-09-08,37,102
2013-09-09,37,102
2013-09-10,37,102
2013-09-11,37,102
2013-09-12,37,102
2013-09-13,37,102
2013-09-14,37,102
2013-09-15,37,102
2013-09-16,37,102
2013-09-17,37,102
2013-09-18,37,102
2013-09-19,37,102
2013-09-20,37,102
2013-09-21,37,102
2013-09-22,37,102
2013-09-23,37,102
2013-09-24,37,102
2013-09-25,37,102
2013-09-26,37,102
2013-09-27,37,102
2013-09-28,37,102
2013-09-29,37,102
2013-09-30,37,102
2013-10-01,42,102
2013-10-02,42,102
2013-10-03,42,102
2013-10-04,42,102
2013-10-05,42,102
2013-10-06,42,102
2013-10-07,42,102
2013-10-08,42,102
2013-10-09,42,102
2013-10-10,42,102
2013-10-11,42,102
2013-10-12,42,102
2013-10-13,42,102
2013-10-14,42,102
2013-10-15,42,103
2013-10-16,42,103
2013-10-17,42,103
2013-10-18,42,103
2013-10-19,42,103
2013-10-20,42,103
2013-10-21,42,103
2013-10-22,42,103
2013-10-23,42,103
2013-10-24,42,103
2013-10-25,42,103
2013-10-26,42,103
2013-10-27,42,103
2013-10-28,42,103
2013-10-29,42,103
2013-10-30,42,103
2013-10-31,42,103
2013-11-01,42,103
2013-11-02,42,103
2013-11-03,42,103
2013-11-04,42,103
2013-11-05,42,103
2013-11-06,42,103
2013-11-07,42,103
2013-11-08,42,103
2013-11-09,42,103
2013-11-10,42,103
2013-11-11,42,103
2013-11-12,42,103
2013-11-13,42,103
2013-11-14,42,103
2013-11-15,42,103
2013-11-16,42,103
2013-11-17,42,103
2013-11-18,42,103
2013-11-19,42,103
2013-11-20,42,103
2013-11-21,42,103
2013-11-22,42,103
2013-11-23,42,103
2013-11-24,42,103
2013-11-25,42,104
2013-11-26,42,104
2013-11-27,42,104
2013-11-28,42,104
2013-11-29,42,104
2013-11-30,42,104
2013-12-01,46,104
2013-12-02,46,104
2013-12-03,46,104
2013-12-04,46,104
2013-12-05,46,104
2013-12-06,46,104
2013-12-07,46,104
2013-12-08,46,104
2013-12-09,46,104
2013-12-10,46,104
2013-12-11,46,104
2013-12-12,46,104
2013-12-13,46,104
2013-12-14,46,104
2013-12-15,46,104
2013-12-16,46,104
2013-12-17,46,104
2013-12-18,46,104
2013-12-19,46,104
2013-12-20,46,104
2013-12-21,46,104
2013-12-22,46,104
2013-12-23,46,104
2013-12-24,46,104
2013-12-25,46,104
2013-12-26,46,104
2013-12-27,46,104
2013-12-28,46,104
2013-12-29,46,104
2013-12-30,46,104
2013-12-31,46,104
2014-01-01,49,104
2014-01-02,49,104
2014-01-03,49,104
2014-01-04,49,104
2014-01-05,49,104
2014-01-06,49,105
2014-01-07,49,105
2014-01-08,49,105
2014-01-09,49,105
2014-01-10,49,105
2014-01-11,49,105
2014-01-12,49,105
2014-01-13,49,105
2014-01-14,49,105
2014-01-15,49,105
2014-01-16,49,105
2014-01-17,49,105
2014-01-18,49,105
2014-01-19,49,105
2014-01-20,49,105
2014-01-21,49,105
2014-01-22,49,105
2014-01-23,49,105
2014-01-24,49,105
2014-01-25,49,105
2014-01-26,49,105
2014-01-27,49,105
2014-01-28,49,105
2014-01-29,49,105
2014-01-30,49,105
2014-01-31,49,105
2014-02-01,45,105
2014-02-02,45,105
2014-02-03,45,105
2014-02-04,45,105
2014-02-05,45,105
2014-02-06,45,105
2014-02-07,45,105
2014-02-08,45,105
2014-02-09,45,105
2014-02-10,45,105
2014-02-11,45,105
2014-02-12,45,105
2014-02-13,45,105
2014-02-14,45,105
2014-02-15,45,105
2014-02-16,45,106
2014-02-17,45,106
2014-02-18,45,106
2014-02-19,45,106
2014-02-20,45,106
2014-02-21,45,106
2014-02-22,45,106
2014-02-23,45,106
2014-02-24,45,106
2014-02-25,45,106
2014-02-26,45,106
2014-02-27,45,106
2014-02-28,45,106
2014-03-01,34,106
2014-03-02,34,106
2014-03-03,34,106
2014-03-04,34,106
2014-03-05,34,106
2014-03-06,34,106
2014-03-07,34,106
2014-03-08,34,106
2014-03-09,34,106
2014-03-10,34,106
2014-03-11,34,106
2014-03-12,34,106
2014-03-13,34,106
2014-03-14,34,106
2014-03-15,34,106
2014-03-16,34,106
2014-03-17,34,106
2014-03-18,34,106
2014-03-19,34,106
2014-03-20,34,106
2014-03-21,34,106
2014-03-22,34,106
2014-03-23,34,106
2014-03-24,34,106
2014-03-25,34,106
2014-03-26,34,106
2014-03-27,34,106
2014-03-28,34,106
2014-03-29,34,107
2014-03-30,34,107
2014-03-31,34,107
2014-04-01,48,107
2014-04-02,48,107
2014-04-03,48,107
2014-04-04,48,107
2014-04-05,48,107
2014-04-06,48,107
2014-04-07,48,107
2014-04-08,48,107
2014-04-09,48,107
2014-04-10,48,107
2014-04-11,48,107
2014-04-12,48,107
2014-04-13,48,107
2014-04-14,48,107
2014-04-15,48,107
2014-04-16,48,107
2014-04-17,48,107
2014-04-18,48,107
2014-04-19,48,107
2014-04-20,48,107
2014-04-21,48,107
2014-04-22,48,107
2014-04-23,48,107
2014-04-24,48,107
2014-04-25,48,107
2014-04-26,48,107
2014-04-27,48,107
2014-04-28,48,107
2014-04-29,48,107
2014-04-30,48,107
2014-05-01,33,107
2014-05-02,33,107
2014-05-03,33,107
2014-05-04,33,107
2014-05-05,33,107
2014-05-06,33,107
2014-05-07,33,107
2014-05-08,33,107
2014-05-09,33,107
2014-05-10,33,108
2014-05-11,33,108
2014-05-12,33,108
2014-05-13,33,108
2014-05-14,33,108
2014-05-15,33,108
2014-05-16,33,108
2014-05-17,33,108
2014-05-18,33,108
2014-05-19,33,108
2014-05-20,33,108
2014-05-21,33,108
2014-05-22,33,108
2014-05-23,33,108
2014-05-24,33,108
2014-05-25,33,108
2014-05-26,33,108
2014-05-27,33,108
2014-05-28,33,108
2014-05-29,33,108
2014-05-30,33,108
2014-05-31,33,108
2014-06-01,39,108
2014-06-02,39,108
2014-06-03,39,108
2014-06-04,39,108
2014-06-05,39,108
2014-06-06,39,108
2014-06-07,39,108
2014-06-08,39,108
2014-06-09,39,108
2014-06-10,39,108
2014-06-11,39,108
2014-06-12,39,108
2014-06-13,39,108
2014-06-14,39,108
2014-06-15,39,108
2014-06-16,39,108
2014-06-17,39,108
2014-06-18,39,108
2014-06-19,39,108
2014-06-20,39,109
2014-06-21,39,109
2014-06-22,39,109
2014-06-23,39,109
2014-06-24,39,109
2014-06-25,39,109
2014-06-26,39,109
2014-06-27,39,109
2014-06-28,39,109
2014-06-29,39,109
2014-06-30,39,109
2014-07-01,27,109
2014-07-02,27,109
2014-07-03,27,109
2014-07-04,27,109
2014-07-05,27,109
2014-07-06,27,109
2014-07-07,27,109
2014-07-08,27,109
2014-07-09,27,109
2014-07-10,27,109
2014-07-11,27,109
2014-07-12,27,109
2014-07-13,27,109
2014-07-14,27,109
2014-07-15,27,109
2014-07-16,27,109
2014-07-17,27,109
2014-07-18,27,109
2014-07-19,27,109
2014-07-20,27,109
2014-07-21,27,109
2014-07-22,27,109
2014-07-23,27,109
2014-07-24,27,109
2014-07-25,27,109
2014-07-26,27,109
2014-07-27,27,109
2014-07-28,27,109
2014-07-29,27,109
2014-07-30,27,109
2014-07-31,27,109
2014-08-01,42,110
2014-08-02,42,110
2014-08-03,42,110
2014-08-04,42,110
2014-08-05,42,110
2014-08-06,42,110
2014-08-07,42,110
2014-08-08,42,110
2014-08-09,42,110
2014-08-10,42,110
2014-08-11,42,110
2014-08-12,42,110
2014-08-13,42,110
2014-08-14,42,110
2014-08-15,42,110
2014-08-16,42,110
2014-08-17,42,110
2014-08-18,42,110
2014-08-19,42,110
2014-08-20,42,110
2014-08-21,42,110
2014-08-22,42,110
2014-08-23,42,110
2014-08-24,42,110
2014-08-25,42,110
2014-08-26,42,110
2014-08-27,42,110
2014-08-28,42,110
2014-08-29,42,110
2014-08-30,42,110
2014-08-31,42,110
2014-09-01,31,110
2014-09-02,31,110
2014-09-03,31,110
2014-09-04,31,110
2014-09-05,31,110
2014-09-06,31,110
2014-09-07,31,110
2014-09-08,31,110
2014-09-09,31,110
2014-09-10,31,110
2014-09-11,31,111
2014-09-12,31,111
2014-09-13,31,111
2014-09-14,31,111
2014-09-15,31,111
2014-09-16,31,111
2014-09-17,31,111
2014-09-18,31,111
2014-09-19,31,111
2014-09-20,31,111
2014-09-21,31,111
2014-09-22,31,111
2014-09-23,31,111
2014-09-24,31,111
2014-09-25,31,111
2014-09-26,31,111
2014-09-27,31,111
2014-09-28,31,111
2014-09-29,31,111
2014-09-30,31,111
2014-10-01,42,111
2014-10-02,42,111
2014-10-03,42,111
2014-10-04,42,111
2014-10-05,42,111
2014-10-06,42,111
2014-10-07,42,111
2014-10-08,42,111
2014-10-09,42,111
2014-10-10,42,111
2014-10-11,42,111
2014-10-12,42,111
2014-10-13,42,111
2014-10-14,42,111
2014-10-15,42,111
2014-10-16,42,111
2014-10-17,42,111
2014-10-18,42,111
2014-10-19,42,111
2014-10-20,42,111
2014-10-21,42,111
2014-10-22,42,112
2014-10-23,42,112
2014-10-24,42,112
2014-10-25,42,112
2014-10-26,42,112
2014-10-27,42,112
2014-10-28,42,112
2014-10-29,42,112
2014-10-30,42,112
2014-10-31,42,112
2014-11-01,39,112
2014-11-02,39,112
2014-11-03,39,112
2014-11-04,39,112
2014-11-05,39,112
2014-11-06,39,112
2014-11-07,39,112
2014-11-08,39,112
2014-11-09,39,112
2014-11-10,39,112
2014-11-11,39,112
2014-11-12,39,112
2014-11-13,39,112
2014-11-14,39,112
2014-11-15,39,112
2014-11-16,39,112
2014-11-17,39,112
2014-11-18,39,112
2014-11-19,39,112
2014-11-20,39,112
2014-11-21,39,112
2014-11-22,39,112
2014-11-23,39,112
2014-11-24,39,112
2014-11-25,39,112
2014-11-26,39,112
2014-11-27,39,112
2014-11-28,39,112
2014-11-29,39,112
2014-11-30,39,112
2014-12-01,39,112
2014-12-02,39,112
2014-12-03,39,113
2014-12-04,39,113
2014-12-05,39,113
2014-12-06,39,113
2014-12-07,39,113
2014-12-08,39,113
2014-12-09,39,113
2014-12-10,39,113
2014-12-11,39,113
2014-12-12,39,113
2014-12-13,39,113
2014-12-14,39,113
2014-12-15,39,113
2014-12-16,39,113
2014-12-17,39,113
2014-12-18,39,113
2014-12-19,39,113
2014-12-20,39,113
2014-12-21,39,113
2014-12-22,39,113
2014-12-23,39,113
2014-12-24,39,113
2014-12-25,39,113
2014-12-26,39,113
2014-12-27,39,113
2014-12-28,39,113
2014-12-29,39,113
2014-12-30,39,113
2014-12-31,39,113
2015-01-01,38,113
2015-01-02,38,113
2015-01-03,38,113
2015-01-04,38,113
2015-01-05,38,113
2015-01-06,38,113
2015-01-07,38,113
2015-01-08,38,113
2015-01-09,38,113
2015-01-10,38,113
2015-01-11,38,113
2015-01-12,38,113
2015-01-13,38,114
2015-01-14,38,114
2015-01-15,38,114
2015-01-16,38,114
2015-01-17,38,114
2015-01-18,38,114
2015-01-19,38,114
2015-01-20,38,114
2015-01-21,38,114
2015-01-22,38,114
2015-01-23,38,114
2015-01-24,38,114
2015-01-25,38,114
2015-01-26,38,114
2015-01-27,38,114
2015-01-28,38,114
2015-01-29,38,114
2015-01-30,38,114
2015-01-31,38,114
2015-02-01,39,114
2015-02-02,39,114
2015-02-03,39,114
2015-02-04,39,114
2015-02-05,39,114
2015-02-06,39,114
2015-02-07,39,114
2015-02-08,39,114
2015-02-09,39,114
2015-02-10,39,114
2015-02-11,39,114
2015-02-12,39,114
2015-02-13,39,114
2015-02-14,39,114
2015-02-15,39,114
2015-02-16,39,114
2015-02-17,39,114
2015-02-18,39,114
2015-02-19,39,114
2015-02-20,39,114
2015-02-21,39,114
2015-02-22,39,114
2015-02-23,39,115
2015-02-24,39,115
2015-02-25,39,115
2015-02-26,39,115
2015-02-27,39,115
2015-02-28,39,115
2015-03-01,53,115
2015-03-02,53,115
2015-03-03,53,115
2015-03-04,53,115
2015-03-05,53,115
2015-03-06,53,115
2015-03-07,53,115
2015-03-08,53,115
2015-03-09,53,115
2015-03-10,53,115
2015-03-11,53,115
2015-03-12,53,115
2015-03-13,53,115
2015-03-14,53,115
2015-03-15,53,115
2015-03-16,53,115
2015-03-17,53,115
2015-03-18,53,115
2015-03-19,53,115
2015-03-20,53,115
2015-03-21,53,115
2015-03-22,53,115
2015-03-23,53,115
2015-03-24,53,115
2015-03-25,53,115
2015-03-26,53,115
2015-03-27,53,115
2015-03-28,53,115
2015-03-29,53,115
2015-03-30,53,115
2015-03-31,53,115
2015-04-01,30,115
2015-04-02,30,115
2015-04-03,30,115
2015-04-04,30,115
2015-04-05,30,115
2015-04-06,30,116
2015-04-07,30,116
2015-04-08,30,116
2015-04-09,30,116
2015-04-10,30,116
2015-04-11,30,116
2015-04-12,30,116
2015-04-13,30,116
2015-04-14,30,116
2015-04-15,30,116
2015-04-16,30,116
2015-04-17,30,116
2015-04-18,30,116
2015-04-19,30,116
2015-04-20,30,116
2015-04-21,30,116
2015-04-22,30,116
2015-04-23,30,116
2015-04-24,30,116
2015-04-25,30,116
2015-04-26,30,116
2015-04-27,30,116
2015-04-28,30,116
2015-04-29,30,116
2015-04-30,30,116
2015-05-01,45,116
2015-05-02,45,116
2015-05-03,45,116
2015-05-04,45,116
2015-05-05,45,116
2015-05-06,45,116
2015-05-07,45,116
2015-05-08,45,116
2015-05-09,45,116
2015-05-10,45,116
2015-05-11,45,116
2015-05-12,45,116
2015-05-13,45,116
2015-05-14,45,116
2015-05-15,45,116
2015-05-16,45,116
2015-05-17,45,117
2015-05-18,45,117
2015-05-19,45,117
2015-05-20,45,117
2015-05-21,45,117
2015-05-22,45,117
2015-05-23,45,117
2015-05-24,45,117
2015-05-25,45,117
2015-05-26,45,117
2015-05-27,45,117
2015-05-28,45,117
2015-05-29,45,117
2015-05-30,45,117
2015-05-31,45,117
2015-06-01,36,117
2015-06-02,36,117
2015-06-03,36,117
2015-06-04,36,117
2015-06-05,36,117
2015-06-06,36,117
2015-06-07,36,117
2015-06-08,36,117
2015-06-09,36,117
2015-06-10,36,117
2015-06-11,36,117
2015-06-12,36,117
2015-06-13,36,117
2015-06-14,36,117
2015-06-15,36,117
2015-06-16,36,117
2015-06-17,36,117
2015-06-18,36,117
2015-06-19,36,117
2015-06-20,36,117
2015-06-21,36,117
2015-06-22,36,117
2015-06-23,36,117
2015-06-24,36,117
2015-06-25,36,117
2015-06-26,36,117
2015-06-27,36,117
2015-06-28,36,118
2015-06-29,36,118
2015-06-30,36,118
2015-07-01,32,118
2015-07-02,32,118
2015-07-03,32,118
2015-07-04,32,118
2015-07-05,32,118
2015-07-06,32,118
2015-07-07,32,118
2015-07-08,32,118
2015-07-09,32,118
2015-07-10,32,118
2015-07-11,32,118
2015-07-12,32,118
2015-07-13,32,118
2015-07-14,32,118
2015-07-15,32,118
2015-07-16,32,118
2015-07-17,32,118
2015-07-18,32,118
2015-07-19,32,118
2015-07-20,32,118
2015-07-21,32,118
2015-07-22,32,118
2015-07-23,32,118
2015-07-24,32,118
2015-07-25,32,118
2015-07-26,32,118
2015-07-27,32,118
2015-07-28,32,118
2015-07-29,32,118
2015-07-30,32,118
2015-07-31,32,118
2015-08-01,43,118
2015-08-02,43,118
2015-08-03,43,118
2015-08-04,43,118
2015-08-05,43,118
2015-08-06,43,118
2015-08-07,43,118
2015-08-08,43,119
2015-08-09,43,119
2015-08-10,43,119
2015-08-11,43,119
2015-08-12,43,119
2015-08-13,43,119
2015-08-14,43,119
2015-08-15,43,119
2015-08-16,43,119
2015-08-17,43,119
2015-08-18,43,119
2015-08-19,43,119
2015-08-20,43,119
2015-08-21,43,119
2015-08-22,43,119
2015-08-23,43,119
2015-08-24,43,119
2015-08-25,43,119
2015-08-26,43,119
2015-08-27,43,119
2015-08-28,43,119
2015-08-29,43,119
2015-08-30,43,119
2015-08-31,43,119
2015-09-01,42,119
2015-09-02,42,119
2015-09-03,42,119
2015-09-04,42,119
2015-09-05,42,119
2015-09-06,42,119
2015-09-07,42,119
2015-09-08,42,119
2015-09-09,42,119
2015-09-10,42,119
2015-09-11,42,119
2015-09-12,42,119
2015-09-13,42,119
2015-09-14,42,119
2015-09-15,42,119
2015-09-16,42,119
2015-09-17,42,119
2015-09-18,42,120
2015-09-19,42,120
2015-09-20,42,120
2015-09-21,42,120
2015-09-22,42,120
2015-09-23,42,120
2015-09-24,42,120
2015-09-25,42,120
2015-09-26,42,120
2015-09-27,42,120
2015-09-28,42,120
2015-09-29,42,120
2015-09-30,42,120
2015-10-01,45,120
2015-10-02,45,120
2015-10-03,45,120
2015-10-04,45,120
2015-10-05,45,120
2015-10-06,45,120
2015-10-07,45,120
2015-10-08,45,120
2015-10-09,45,120
2015-10-10,45,120
2015-10-11,45,120
2015-10-12,45,120
2015-10-13,45,120
2015-10-14,45,120
2015-10-15,45,120
2015-10-16,45,120
2015-10-17,45,120
2015-10-18,45,120
2015-10-19,45,120
2015-10-20,45,120
2015-10-21,45,120
2015-10-22,45,120
2015-10-23,45,120
2015-10-24,45,120
2015-10-25,45,120
2015-10-26,45,120
2015-10-27,45,120
2015-10-28,45,120
2015-10-29,45,120
2015-10-30,45,121
2015-10-31,45,121
2015-11-01,47,121
2015-11-02,47,121
2015-11-03,47,121
2015-11-04,47,121
2015-11-05,47,121
2015-11-06,47,121
2015-11-07,47,121
2015-11-08,47,121
2015-11-09,47,121
2015-11-10,47,121
2015-11-11,47,121
2015-11-12,47,121
2015-11-13,47,121
2015-11-14,47,121
2015-11-15,47,121
2015-11-16,47,121
2015-11-17,47,121
2015-11-18,47,121
2015-11-19,47,121
2015-11-20,47,121
2015-11-21,47,121
2015-11-22,47,121
2015-11-23,47,121
2015-11-24,47,121
2015-11-25,47,121
2015-11-26,47,121
2015-11-27,47,121
2015-11-28,47,121
2015-11-29,47,121
2015-11-30,47,121
2015-12-01,56,121
2015-12-02,56,121
2015-12-03,56,121
2015-12-04,56,121
2015-12-05,56,121
2015-12-06,56,121
2015-12-07,56,121
2015-12-08,56,121
2015-12-09,56,121
2015-12-10,56,122
2015-12-11,56,122
2015-12-12,56,122
2015-12-13,56,122
2015-12-14,56,122
2015-12-15,56,122
2015-12-16,56,122
2015-12-17,56,122
2015-12-18,56,122
2015-12-19,56,122
2015-12-20,56,122
2015-12-21,56,122
2015-12-22,56,122
2015-12-23,56,122
